"행정구역(시군구)별","시점","총인구수[명]","남자인구수[명]","여자인구수[명]",
"전국","2020. 08 월","51839953","25851388","25988565",
"서울특별시","2020. 08 월","9708247","4724585","4983662",
"종로구","2020. 08 월","149962","73062","76900",
"중구","2020. 08 월","125990","61651","64339",
"용산구","2020. 08 월","229362","110403","118959",
"성동구","2020. 08 월","296183","144701","151482",
"광진구","2020. 08 월","348647","168472","180175",
"동대문구","2020. 08 월","344650","170926","173724",
"중랑구","2020. 08 월","395788","195931","199857",
"성북구","2020. 08 월","440395","212559","227836",
"강북구","2020. 08 월","310555","151376","159179",
"도봉구","2020. 08 월","328014","160089","167925",
"노원구","2020. 08 월","526718","254463","272255",
"은평구","2020. 08 월","481729","231508","250221",
"서대문구","2020. 08 월","312632","149803","162829",
"마포구","2020. 08 월","373620","176174","197446",
"양천구","2020. 08 월","456980","224271","232709",
"강서구","2020. 08 월","584920","282647","302273",
"구로구","2020. 08 월","405495","200251","205244",
"금천구","2020. 08 월","232013","117497","114516",
"영등포구","2020. 08 월","375133","185603","189530",
"동작구","2020. 08 월","394118","190754","203364",
"관악구","2020. 08 월","499316","250520","248796",
"서초구","2020. 08 월","427237","204280","222957",
"강남구","2020. 08 월","540148","258407","281741",
"송파구","2020. 08 월","671312","324134","347178",
"강동구","2020. 08 월","457330","225103","232227",
"부산광역시","2020. 08 월","3401072","1666462","1734610",
"중구","2020. 08 월","41630","20358","21272",
"서구","2020. 08 월","107768","52216","55552",
"동구","2020. 08 월","89665","43942","45723",
"영도구","2020. 08 월","114511","56422","58089",
"부산진구","2020. 08 월","357768","173014","184754",
"동래구","2020. 08 월","272182","132551","139631",
"남구","2020. 08 월","269626","131948","137678",
"북구","2020. 08 월","286865","141959","144906",
"해운대구","2020. 08 월","403118","194137","208981",
"사하구","2020. 08 월","315748","157389","158359",
"금정구","2020. 08 월","234640","114665","119975",
"강서구","2020. 08 월","133354","68912","64442",
"연제구","2020. 08 월","210146","101338","108808",
"수영구","2020. 08 월","176937","83686","93251",
