행정구역(시군구)별,시점,총전입[명],총전출[명],순이동[명],시도내이동-시군구내[명],시도내이동-시군구간 전입[명],시도내이동-시군구간 전출[명],시도간전입[명],시도간전출[명]
전국,2020. 04 월,614262,614262,0,249856,177011,177011,187395,187395
서울특별시,2020. 04 월,127208,134325,-7117,39658,51015,51015,36535,43652
종로구,2020. 04 월,1912,2161,-249,363,959,1175,590,623
중구,2020. 04 월,1659,1699,-40,287,913,966,459,446
용산구,2020. 04 월,3008,3218,-210,662,1451,1554,895,1002
성동구,2020. 04 월,3702,4534,-832,1032,1658,2253,1012,1249
광진구,2020. 04 월,4729,5123,-394,1424,1863,2065,1442,1634
동대문구,2020. 04 월,4492,4861,-369,1360,1822,2110,1310,1391
중랑구,2020. 04 월,4716,5207,-491,1886,1817,1589,1013,1732
성북구,2020. 04 월,5124,5423,-299,1575,2193,2421,1356,1427
강북구,2020. 04 월,3734,3957,-223,1295,1654,1559,785,1103
도봉구,2020. 04 월,3551,4062,-511,1302,1482,1522,767,1238
노원구,2020. 04 월,5344,6052,-708,1945,2093,1972,1306,2135
은평구,2020. 04 월,6412,6410,2,2570,2371,1593,1471,2247
서대문구,2020. 04 월,4520,4343,177,1120,2053,1833,1347,1390
마포구,2020. 04 월,5323,5500,-177,1422,2256,2434,1645,1644
양천구,2020. 04 월,6593,5824,769,2142,2952,1974,1499,1708
강서구,2020. 04 월,7176,8294,-1118,2514,2525,2671,2137,3109
구로구,2020. 04 월,4548,5164,-616,1214,1646,1879,1688,2071
금천구,2020. 04 월,2829,3008,-179,829,999,919,1001,1260
영등포구,2020. 04 월,6160,5895,265,1642,2644,2438,1874,1815
동작구,2020. 04 월,5465,5511,-46,1265,2460,2507,1740,1739
관악구,2020. 04 월,8115,8485,-370,2291,2622,3254,3202,2940
서초구,2020. 04 월,4623,5540,-917,1185,2048,2506,1390,1849
강남구,2020. 04 월,6544,8110,-1566,2019,2348,3486,2177,2605
송파구,2020. 04 월,7797,9171,-1374,2845,2684,3002,2268,3324
강동구,2020. 04 월,9132,6773,2359,3469,3502,1333,2161,1971
부산광역시,2020. 04 월,41008,41966,-958,14082,17187,17187,9739,10697
중  구,2020. 04 월,585,610,-25,96,311,370,178,144
서  구,2020. 04 월,1528,1420,108,555,669,570,304,295
동  구,2020. 04 월,1768,1344,424,534,942,585,292,225
영도구,2020. 04 월,914,1087,-173,403,286,427,225,257
부산진구,2020. 04 월,5328,4926,402,1850,2194,1934,1284,1142
